,id,attribute_ids
336,135d9f2c23095745,13
11447,8d16ca200d40b8cd,13
11112,892aba906f5c3e7d,44
13123,9f08720c7e29ba50,18
16327,c17feb5752bdd74b,25
16723,c6496aec771f27ba,13
2201,280838a808709794,13
16476,c35b74d5141941c8,51
13189,9fc97dd477df0b7,51
2994,3073222dc0cbcf5c,51
5299,49af33e47083b707,70
20037,eaa059991a514a62,22
11898,91b767e8c900b6a8,51
860,18bf192d25bbb5af,13
13903,a75e74a6c7ed292b,51
14147,aa1643e0faff8cdc,25
11972,929231f6bcdbb9ff,13
1078,1b4af476e35287d9,13
16907,c847014aef6e88c3,13
15265,b5a015e1200fa7da,61
20631,f0ab17970151239a,51
12775,9b6107766dd32be,49
18812,dd98bd1248546127,51
12809,9bbe653dc2f4ff13,13
15222,b529225ca24418ca,13
13120,9eff373057eeff33,25
1338,1e0d1d858553cbc8,13
11189,89eda080a83af07b,61
9770,7a61adec9fdbad44,13
19931,e951fcf3a67001f2,13
20082,eb1650a5cc99986a,13
13761,a5acb76d251326df,13
15446,b7b1f0c023911639,51
18756,dcfaf2f9c276edc9,13
6159,53a2fcfdea3f85b7,13
14377,ac88da04250fa2d7,13
9774,7a726621472a5c33,45
803,1812c94d75763a51,51
15478,b81cceefb3907632,13
3287,3354f5e919aa9a78,13
21170,f67b63e20024a49d,13
12737,9af27c96897b0337,29
11205,8a1f8bf9cfa6c867,13
5322,4a08142abeabb366,13
19836,e856fbb5c1c121c9,13
15208,b4fc970f526a5ef1,51
14935,b233d93087a75bfe,51
1023,1ab4ab567f05f41d,13
7581,636cce09986d6aa5,13
21746,fc6f5bcab66d8715,51
17307,ccef16a629ea2d62,51
11927,9204e467e1567977,51
2796,2e732083e8281223,51
13390,a1b1307351e040ea,25
12553,991f4cdcfbbed16c,33
9018,72950f320095444b,51
20455,eed74283be345b2b,13
3395,34ad6cfcfb5d1e78,13
12853,9c31a57468c1cbe6,23
7928,66e89608eca5cfe8,13
18032,d4eb24cc1172407b,13
14614,aeded314cc995884,51
1689,222dc4382d9ca4b3,51
1681,22103e411409edd6,45
16449,c30960adae6065d8,13
17999,d47f62a0fedb0484,51
11611,8eabb5b039614c9,70
4828,445a7e1edd8b94e0,55
3810,3952b4cfd51cfa4a,13
8111,68addd0d7eacb053,51
6619,58f39a1a04a2fc45,0
18254,d777dd4b6225b6c6,51
8167,692bc7492904b9dc,35
11797,90a5c863a3e5d24c,26
6864,5b96c4358af589c5,33
19268,e2680e094b54eaf,13
3512,35ee40352f8cef94,33
