id,attribute_ids
1000483014d91860,147
1000fe2e667721fe,51
10041eb49b297c08,51
100501c227f8beea,13
10050ed12fbad46d,189
100543a032517972,188
1007057734dba6df,189
1008abd71f3ed5bc,70
1008c7837081f985,79
1009f5737fc77f2,188
100a0dcde728cb36,51
100a58282c6584bf,147
100b45b7c4020f5d,161
100bb499d37d0751,188
100bbf5e832083d3,51 212
100d750286e85bf3,13
100ef61c00e1b5d3,25 161
100efeead4d0f90c,189
100f00204964e81d,147 189
1010af4eeb3f95ee,194
1012a188a1fd6166,13
1014806043fa009,156
1014ac8807369589,180
1014daea6638d09a,147
101534933c122e23,25 161
1015ddcd27215ca6,51 212
101690dc24813dc5,51
101695e8cefdc9c4,13
1016dc1b22073bb3,156
10175059b2aabb70,13
101861e383ec9973,13
1018a55fce131346,156
101b61e80e554985,156
101bedd1744689b2,51 339
101c55520bafa9f0,13
101c8394ff6db02d,13
101e360e69aeb7b6,194
101e477104fc2bf7,13
101eb6f95ea25ab0,121
101f35d791be34cb,189
101f609f4bfff5e6,156
1020048f6714ed,147
10217714ab515f45,121
10219d8d2441fd3c,18 161 331
1022d46462792863,131
10233e987552d468,51
1023eaa2b948cff2,13
10246e16d17d9b85,13
1024cf6962950d3d,217
1026fd05a949a6bf,304
1027bc2aeca8e1a8,13
1027e6c5c8e4c329,51
1028437b8bc9eeee,147
10287ba3d06139e0,369
102894db9ed6cf3f,189
1029d2328092ea5d,147
102a85e0df297631,111
102b178fae139a12,369
102b312da3240f83,79
102c9239c03b183,121
102cb701e5718d70,147
102ddf2255055175,189 252
102e0b4fbd90fa5d,335
10301a06071f5dc8,13
10303f46db29089c,13
1032b100196dfb0e,99
1033055830394850,156
103356cb98f8432d,51
1033d832fd617e6,189
1033e9987c841d5c,133 189
1035395eac69843a,79
10357357806fd865,116 161
1035b7bb16ac6861,79
1036067570313a49,79
1037596d35059b86,121
1037796180daaf55,13
103a729425811e95,121
103ac9a11af50a77,99 304
103afcfbd66b7564,189
103bdf3269799137,99
103c45a513aa6019,13
103ea6481627ead1,51
10407b0ebada4963,259
10410b3e487c8d13,121
1042b8fe16eaefb3,335
10430f003935ccc2,304
104468f87dfe4aee,131
104737e74e765b8b,147
104748efce3447d7,156
104862b3c278b4f8,99
104869bde5162ef8,189
1048e4b13229f27d,369
104a2a7835758ff8,147
104aa6660ce67379,121
104ace4388140a92,161 204
104c4bfd6b5eec32,259
104d25babe223640,125
104d4c7a540f3160,147
104db9cd6f85f477,147
104f8f58592109b9,131
104fb98e4eb995d,304
1050368940bb298d,121
10509f863ee42c3,239
105248bfa74c8b01,13
1052acf3ce58ad8d,13
1052bc4619187ebf,147 283
10543f59c2488578,189 252
1055abe56bbddf45,13
1055d9d6bb38c6c3,156
1055e61cedb6b7c9,282
10567626ccf6a875,13
1056caff76d71c22,51
10576007b14c86bc,188
10584f896b8df034,111
1059ab8ed8210d87,121
1059ac4f9c6927b7,51
1059f1abf4e51a0,147
105b43585eb70f2b,147
105b6c58db321045,121
105c132184cb8cc5,259
105d30f0ea817ab7,131
105d4e090ef5f0df,147
105da5a14dcb0be,156
105edd843d50258c,189
105f044288493432,348
105f7710cbca36ca,182
105fd7f1d727f27e,313
10601eb2e488d47a,194
10602ff85a021d75,13
1060e7d52f2553c6,188
1061c7940c7bc80d,51
106262d2fca631ca,111
106435dcb8cac360,156
1064566646e00c3e,111
1066458a03e2306b,189
106724ee0d32ffd3,99
106742b32cf1d094,348
1067b078ced21d1d,51
1067ff8364c025a4,189
106887047a084c8e,121
106a1554dd1f86c2,304
106a18ab95fb7790,147 283
106bd87f14a2b633,189
106be64b6b99665c,156
106c48fc5d81b828,189
106c6d9c186a3b45,147 283
106d2309d5f5bb7c,188
106d7ecf197d60c1,189
106e8109a080210b,369
106f78ec4b3a99e9,51
106f814e5e75e001,13
106f82c5df033be8,51
1072e1fc4511ee65,147
1072e294c63d72f,189
1073bf212fd0f590,147 283
10750f487462cb3f,13
107585c9a97ad9f1,194
10769d444e5c1fda,147 283
107730cac1f73e05,127
1077816007dca731,189
107859a3a0c8af54,304
1078652b44c57ac8,156
107913f4da228989,194
1079f1e9087407d5,51
107a470d72fdeb67,194
107aeac3c8c4b805,161 331
107b2d88d45d5e8b,156
107b59f0c6c1c031,335
107b83a0d70d1f76,156
107bec179f69a847,79
107d63bbcc9e878b,79
107dbb2762bf5b1,335
107ea49bc5e84c1a,147
1080136056661d33,147
1080d65daa637f,259
1081f7798f6de85f,147
108314ec9c5eb35a,147
10835cfcddef3db8,13
1083c782f3815c18,189
1083f4a7090a9fb3,156 189
1085d894b25fed0c,121
10865cc6255671a,13
10874de00c4020b8,121
1087549316e1473c,147
10877325e4f7c4aa,13
10880c537655e3f1,125
108865aaab8c0b63,147
108979416eb770da,147
108b79e2c099966b,194
108d00a03e41839a,189
108db74f6f6a1ba4,217
108f332273288ec,189
108fb7a259fdcf84,194
108fd352128d4440,194
109124de4120f46b,189
109174b4056a9a9f,111
10933db83969cc33,189
10953eff86938b43,79
1095e18da71d0e9,369
1097f2babb418d0c,147
10984ac8d2c0e354,70
109bca5e0c14e378,79
109d15ce81a1f198,282
109faa6a01ab6556,79
109fff4853e9c3a7,156 227
10a07f974955e989,369
10a0ec4efede439f,111
10a10a04372b7286,79
10a16bb84cd85b4f,194
10a1a0b30bac441b,13
10a25f43862d77ea,188
10a39f5f44819cc6,304
10a43c7e5550dea3,51 339
10a46f916f50d674,156
10a4cf14858bf51a,13
10a5ff981c5f7834,189
10a60a0a7dd37d4a,189
10a803ca68b282ae,147
10a8456eec10d7e,189 378
10a846b55339af9,156
10a84badb9dea3ff,308
10a867c49be92028,194
10a891d850b5ef09,147
10a894781c16b328,121
10a8b1fcc8f8c788,147
10a8b2a6ecb9083d,147
10a8eb3921fe3d06,188
10a8f09f29279295,359
10a9478373c442e2,13
10ab00a597930469,51
10aec0fd87c3cf32,13
10af2d223f122077,121
10af3c12ac4e9efd,121
10af4b6e70560356,147
10af91e06b85d1b,51
10b00e03a18e7b8e,189
10b09cb5ac5341b3,51
10b0a91dbf512208,13
10b0bc3e6d6ea7b7,147
10b13c427fee1c2f,189
10b1c862212bc598,259
10b256ca2206a828,13
10b27b334c8c6603,125
10b30d34f1186970,188
10b457aa6a34e71e,156
10b461e598f1433e,79
10b509bc34be6e3c,189
10b50a812fe473a2,369
10b532aff170b3b2,121
10b56bfde7f3bccf,147
10b57e6a57480cb2,188
10b5ef8e9556d784,51
10b6db98b4b04dfa,79
10b72245402fc099,121
10b7c56e2af323f8,282
10b7c69153c39023,121
10b806643ff8bd68,304
10b9201896f26d4d,194
10ba23d6a51444d6,331
10ba350adbe4f9c4,147
10ba3b84ca8d657,194
10bacab36086b3a7,147
10bb70af09de67f0,121
10bbb78beee0ba07,51
10bc4d8c7b004851,121
10bdaaf7eee7d98c,121
10c043db8d9aed42,133 189
10c06c5214058138,313
10c22ed9f360802a,304
10c2e806c8afa3fc,147
10c40e10713c5a03,121
10c448a7398d8864,156
10c4e51e911e4267,121
10c5899973a8203e,14
10c5b7c3f05e813d,189 335
10c794395494a108,194
10c79c480c233921,29
10c7a143a6ad8f9d,51
10c7d98c4f76cec4,51
10c8731fcf7a00ce,369
10c8803614f9301,79
10c8a4a71a35d94a,147
10c9014312e69550,121
10caad3451987e5,189 378
10cae95be1562716,156
10cc583e769f4bdb,121
10ccb3d736c8c029,194
10cd45f369ce8ba7,121
10ce3b88b97b6872,194
10ce427d8c9575c4,13
10d0648ca103ff8e,29
10d0962cb50d5af7,259
10d110e58843c7a9,51 339
10d30133795332c0,304
10d30c0587d68dea,156
10d3446f5c785a3,180
10d34493b796efa4,51 76
10d41631a66bb4f2,156
10d432c377d2b132,13
10d46e578ebc16c5,147
10d4bba764c1e97b,147
10d50ba4aa473d43,194
10d58380bed88b15,13
10d7ec63a417f39,147 283
10d815c00dc5b4be,99
10d90e980e8e7bbd,194
10d95b008ef31b7f,179
10da13f8c4815d32,51
10da1b0fde5c8ee4,304
10da4fbca0fdfa85,147
10db4c7337052f3e,369
10dc738fbea869e2,189
10de9b91be65e19a,29 383
10defe47fb2a4a80,180
10df3af1b5309ac9,51 212
10e1d261b7e5e88a,45
10e26f0f4e0815fe,51
10e372249527c239,369
10e383139726cd5a,189
10e3f6b02163e303,189 252
10e446a8cfcef8ae,79
10e5f54745e092a7,121
10e61c5f0287989b,156
10e646f81d5affdb,231
10e71777c564084d,99
10e775dd6b22db10,99
10e8db299d411a66,194
10e92104324f3615,189
10e940311ed654f6,13
10e9725d4e2cd9f7,51 212
10e98c09b0d19fdc,189
10e9e83c6c56dcaa,51
10ead8a498067966,13
10eb71ce135652c9,70
10ebedb1a4756622,51
10ed4042b48a11e9,280
10ee645cbbe9dc9d,189
10ef3018c6eb59c4,99
10f03d6613ece62b,194
