id,attribute_ids
1007057734dba6df,189
1009f5737fc77f2,188
100a58282c6584bf,147
100b45b7c4020f5d,161
101695e8cefdc9c4,13
101b61e80e554985,156
101b61e80e554985,156
101bedd1744689b2,51
101eb6f95ea25ab0,121
1026fd05a949a6bf,304
103356cb98f8432d,51
103a729425811e95,121
103afcfbd66b7564,189
1042b8fe16eaefb3,335
1042b8fe16eaefb3,335
10430f003935ccc2,304
104468f87dfe4aee,131
1056caff76d71c22,51
105d30f0ea817ab7,131
106a1554dd1f86c2,304
106bd87f14a2b633,189
106be64b6b99665c,156
106d7ecf197d60c1,189
107b2d88d45d5e8b,156
107bec179f69a847,79
107dbb2762bf5b1,335
1081f7798f6de85f,147
10865cc6255671a,13
108979416eb770da,147
108d00a03e41839a,189
109174b4056a9a9f,111
109faa6a01ab6556,79
10a0ec4efede439f,111
10a10a04372b7286,79
10a5ff981c5f7834,189
10a867c49be92028,194
10aec0fd87c3cf32,13
10b13c427fee1c2f,189
10b256ca2206a828,13
10b457aa6a34e71e,156
10b7c69153c39023,121
10ba3b84ca8d657,194
10bbb78beee0ba07,51
10c2e806c8afa3fc,147
10c8731fcf7a00ce,369
10d30133795332c0,304
10e383139726cd5a,189
10e8db299d411a66,194
10f167022f30dfa1,180
10fa300376628e1e,147
10fb08077706f5c3,13
1107213c7e63b1eb,188
11095c2720ef8e0d,369
1114c5c9383fb97d,304
11150bbe63c7714a,189
11185f3e8e7ea2b9,147
11185f3e8e7ea2b9,147
11201ec4c649844c,13
1129704e3cf1d375,369
112ade298c279b53,13
112d0140a9c09b2c,189
112d92e7710410ce,194
1134d79493e42a93,13
114cf11ced1fdce7,189
114cf11ced1fdce7,189
1159930df9d95be2,188
116171579b29c723,13
11636e22a45afc6b,147
11636e22a45afc6b,147
11636e22a45afc6b,147
11691a85a677bb9f,79
116a8309df97c826,121
116e07f2810a5614,121
116e92e4ffe8de4b,189
116f6b38afbb3ba7,79
116f6b38afbb3ba7,79
1171b15ad68ca969,231
11756757cd082be,147
117ecc07e6036552,121
1183634a60eba78c,13
11849f7de07ea000,304
11891641dcc1de88,161
119260112581bd9a,111
119603c4404fefc4,189
11992b3ab2a359e2,147
119e1b246b826b41,79
119f12c6a3eaf359,189
11a4c9a468b7e385,147
11a5ba04a1df2ea1,147
11ab01ff120858c,147
11b8bd997731ede8,79
11caf3d0a4a34805,335
11cdf83706c0329,369
11cebe5f896a2da7,194
11da01408de610d6,13
11debb30d45f0dff,147
11e229913e46af41,79
11ea315dd114dc73,156
11eb0239160e9798,29
11f29f41749a5908,79
11f7c844c14f36ef,147
11fa9f32e6344158,156
11fe1c93bd7b90c9,189
11ff3fe5e6ed10d8,121
1203e8f710050d4b,304
1204c749cf6e4883,147
1208b3aa536af605,70
120d630028b902bc,304
1214ad77ea9c2743,156
12276f0d3b8e3ecd,13
122b831cb0015314,121
1230a735176e76c4,13
1231147caa7a2b2a,259
1239db2767d29201,51
123cecff18cb4196,189
12489d05130b7ca1,121
12489d05130b7ca1,121
1250d9fcf703aaa9,51
125f450c84d1f0f4,188
12611106a15d7231,51
12635b8c6b2a76cb,79
1264e2a745d92980,147
126b810c7f4c6653,147
126fd39b6dac96f8,184
127152148807c6a0,121
127a1b7ef9b87582,70
127b0d097d99f1cd,121
127d9718bdb37015,188
127d9718bdb37015,188
12865ca6eb22cd79,99
128f339554d37da7,194
128fa46a1e2f0eed,147
1291086241ca870d,189
1291f3dcc068f271,189
129f30943da46229,161
12a26e43e704994b,13
12a8799841757eb3,147
12a8b0811b6178ce,147
12abfbdc38dbbf07,121
12ae85333f996730,188
12b19ae13ea2e4e6,51
12b21d1dae70251f,111
12b4fb09d9e21f7,13
12b5faa0e1f35626,147
12b5faa0e1f35626,147
