epoch,accuracy,auc,categorical_accuracy,false_negatives,false_positives,loss,precision,recall,top_5_categorical_accuracy,true_negatives,true_positives,val_accuracy,val_auc,val_categorical_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_top_5_categorical_accuracy,val_true_negatives,val_true_positives
0,0.6103997230529785,0.9672694206237793,0.6103997230529785,7506.0,2773.0,1.3189283609390259,0.705062747001648,0.4689777195453644,0.921047031879425,689842.0,6629.0,0.6457272171974182,0.9779565334320068,0.6457272171974182,1627.0,717.0,1.1145343780517578,0.7267530560493469,0.5396151542663574,0.9499151110649109,172449.0,1907.0
1,0.6830562353134155,0.9858112335205078,0.6830562353134155,5886.0,2660.0,0.9536519646644592,0.7561646103858948,0.5835868120193481,0.9668199419975281,689955.0,8249.0,0.6717600226402283,0.9792324304580688,0.6717600226402283,1452.0,697.0,1.0165153741836548,0.7491903305053711,0.5891340970993042,0.9510469436645508,172469.0,2082.0
2,0.7160240411758423,0.990513026714325,0.7160240411758423,5262.0,2543.0,0.8250957131385803,0.7772424817085266,0.6277325749397278,0.9816766977310181,690072.0,8873.0,0.6595925092697144,0.9791378378868103,0.6595925092697144,1436.0,835.0,1.0211085081100464,0.7153085470199585,0.5936615467071533,0.9586870670318604,172331.0,2098.0
3,0.7347010970115662,0.9926165342330933,0.7347010970115662,4834.0,2378.0,0.745352029800415,0.7963866591453552,0.6580120325088501,0.9886806011199951,690237.0,9301.0,0.6853423714637756,0.9812411665916443,0.6853423714637756,1449.0,658.0,0.9755304455757141,0.7601166367530823,0.5899830460548401,0.9592529535293579,172508.0,2085.0
4,0.7503360509872437,0.9936792850494385,0.7503360509872437,4499.0,2340.0,0.6944413185119629,0.8046092391014099,0.6817120909690857,0.9921471476554871,690275.0,9636.0,0.6697793006896973,0.9789978861808777,0.6697793006896973,1407.0,762.0,1.0022987127304077,0.7362409234046936,0.6018675565719604,0.9629315137863159,172404.0,2127.0
5,0.7653342485427856,0.9944925904273987,0.7653342485427856,4252.0,2257.0,0.6454747319221497,0.8140856623649597,0.6991864442825317,0.9939157962799072,690358.0,9883.0,0.6977928876876831,0.9807246923446655,0.6977928876876831,1297.0,765.0,0.9552960991859436,0.7451698780059814,0.632993757724762,0.9629315137863159,172401.0,2237.0
6,0.7803325057029724,0.9953601956367493,0.7803325057029724,3947.0,2165.0,0.6098830103874207,0.8247389197349548,0.7207640409469604,0.9958966970443726,690450.0,10188.0,0.6966609954833984,0.97832852602005,0.6966609954833984,1277.0,796.0,0.9778770804405212,0.7392728328704834,0.6386530995368958,0.9668930172920227,172370.0,2257.0
7,0.7864874601364136,0.9956112504005432,0.7864874601364136,3802.0,2123.0,0.5819990634918213,0.8295600414276123,0.731022298336029,0.9972409009933472,690492.0,10333.0,0.6949632167816162,0.9769821166992188,0.6949632167816162,1271.0,809.0,0.991226851940155,0.7366536259651184,0.640350878238678,0.9634974598884583,172357.0,2263.0
8,0.7956844568252563,0.9960601329803467,0.7956844568252563,3654.0,2092.0,0.5609676837921143,0.8336117267608643,0.741492748260498,0.9971701502799988,690523.0,10481.0,0.6924165487289429,0.9776065349578857,0.6924165487289429,1250.0,841.0,0.9916811585426331,0.7308800220489502,0.6462931632995605,0.9649122953414917,172325.0,2284.0
9,0.8000707626342773,0.9959744215011597,0.8000707626342773,3514.0,2086.0,0.5461195111274719,0.8358384966850281,0.7513972520828247,0.9978775978088379,690529.0,10621.0,0.6994906663894653,0.9769765138626099,0.6994906663894653,1276.0,784.0,0.9922756552696228,0.742274820804596,0.6389360427856445,0.963780403137207,172382.0,2258.0
10,0.8058012127876282,0.9964232444763184,0.8058012127876282,3421.0,2073.0,0.5260653495788574,0.8378822207450867,0.7579766511917114,0.9980190992355347,690542.0,10714.0,0.7017543911933899,0.977794349193573,0.7017543911933899,1286.0,766.0,0.9790911674499512,0.7458527088165283,0.6361063718795776,0.9632145166397095,172400.0,2248.0
